Designator,Mid X,Mid Y,Rotation,Layer
C1,139.93375,-88.025,0.0,top
C10,135.0495,-104.2545,270.0,top
C11,137.78,-105.39,180.0,top
C12,150.3025,-99.4625,0.0,top
C13,152.18,-96.91,270.0,top
C14,133.76,-104.21,270.0,top
C15,122.4525,-84.175,180.0,top
C16,128.71,-93.755,180.0,top
C17,119.7225,-88.235,90.0,top
C18,128.765,-91.5675,0.0,top
C2,134.59625,-88.03,180.0,top
C3,134.93,-95.8,0.0,top
C4,140.21,-104.26,90.0,top
C5,141.25,-104.27,90.0,top
C6,137.8,-106.34,0.0,top
C7,135.73,-102.67,0.0,top
C8,134.51,-106.62,180.0,top
C9,150.3163,-100.7375,0.0,top
D1,153.5275,-100.0625,90.0,top
D2,171.0375,-104.585,270.0,top
J1,135.85,-82.1944,180.0,top
J12,146.6,-83.36,0.0,top
J13,155.94,-111.73,180.0,top
J14,124.4975,-119.025,0.0,top
J18,119.13,-112.2175,270.0,top
J19,130.61,-87.7575,0.0,top
J20,119.1725,-99.5275,270.0,top
J21,161.775,-92.39,90.0,top
J22,161.105,-106.67,0.0,top
J23,124.73,-99.63,0.0,top
J24,124.88,-112.27,0.0,top
L1,141.6975,-107.7925,180.0,top
L2,147.1,-100.95,90.0,top
L3,135.5575,-99.6825,0.0,top
L7,141.3995,-93.1801,180.0,top
Q1,146.54,-97.205,0.0,top
R1,150.241,-104.648,0.0,top
R10,136.3195,-104.2545,270.0,top
R11,136.31,-106.55,90.0,top
R12,150.2895,-103.2385,0.0,top
R13,134.49,-105.68,180.0,top
R14,137.12,-95.767,180.0,top
R3,147.955,-104.648,180.0,top
R4,134.7825,-96.91,180.0,top
R5,153.4275,-96.6825,270.0,top
R6,150.368,-98.171,180.0,top
R7,137.125,-96.915,180.0,top
R8,137.95,-107.35,180.0,top
R9,150.3275,-101.9625,0.0,top
SW1,151.49,-91.57,0.0,top
TH1,127.91,-87.7075,270.0,top
U1,141.19,-99.92,90.0,top
U2,124.0525,-89.085,180.0,top
